model;price;transmission;mileage;fuelType;tax;mpg;engineSize;Make
 Kodiaq;25995;Semi-Auto;1000;Diesel;145;42,2;2;skoda
 I10;11990;Manual;3213;Petrol;145;56,5;1;Hyundai
 2 Series;25000;Automatic;2980;Petrol;145;40,9;1,5;BMW
 Golf;34790;Semi-Auto;1000;Petrol;145;36,2;2;vw
 Tiguan Allspace;29399;Semi-Auto;2334;Petrol;145;35,8;1,5;vw
 T-Roc;22980;Manual;600;Petrol;145;42,2;1,5;vw
 Mondeo;24979;Automatic;2213;Hybrid;135;47,9;2;Ford
 Q5;36000;Semi-Auto;6500;Petrol;145;32,1;2;audi
 X2;28995;Semi-Auto;10;Diesel;145;58,9;2;BMW
 Superb;20995;Semi-Auto;1000;Diesel;145;49,6;1,6;skoda
 Focus;17490;Manual;1550;Petrol;145;49,6;1;Ford
 A8;54990;Automatic;10;Diesel;145;39,2;3;audi
 Golf;32442;Automatic;6530;Petrol;150;32,8;2;vw
 California;61995;Semi-Auto;1000;Diesel;260;32,1;2;vw
 Passat;27000;Manual;2000;Diesel;150;57,7;2;vw
 Golf;33695;Semi-Auto;4201;Petrol;145;32,8;2;vw
 Golf;25491;Semi-Auto;2000;Diesel;145;52,3;2;vw
 Touran;33489;Semi-Auto;2800;Diesel;150;45,6;2;vw
 Touareg;51690;Automatic;6500;Petrol;150;26,2;3;vw
 Z4;39990;Automatic;1784;Petrol;150;33,2;3;BMW
 Polo;13490;Manual;2500;Petrol;145;48,7;1;vw
 Fiesta;25999;Manual;12;Petrol;145;40,4;1,5;Ford
 Tiguan;31799;Semi-Auto;1000;Diesel;145;45,6;2;vw
 Q3;32444;Automatic;1500;Petrol;145;31,4;0;audi
 X2;30990;Manual;6;Petrol;145;42,8;1,5;BMW
 A3;23995;Manual;1560;Diesel;145;55,4;2;audi
 T-Cross;23500;Manual;2000;Diesel;145;52,3;1,6;vw
 Karoq;23990;Automatic;4000;Petrol;145;40,9;1,5;skoda
 Q2;40000;Semi-Auto;5900;Petrol;150;32,5;2;audi
 Golf;21990;Semi-Auto;3219;Diesel;145;53,3;2;vw
 X2;24490;Semi-Auto;1;Diesel;145;52,3;2;BMW
 3 Series;30995;Semi-Auto;1501;Petrol;145;42,2;2;BMW
 T-Cross;20995;Manual;227;Petrol;150;47,9;1;vw
 T-Roc;25999;Manual;3000;Petrol;145;42,2;1,5;vw
 Focus;20000;Manual;100;Petrol;145;60,1;1;Ford
 Up;9850;Manual;2000;Petrol;145;54,3;1;vw
 A4;32000;Semi-Auto;20;Diesel;145;51,4;2;audi
 TT;30000;Automatic;2500;Petrol;150;40,9;2;audi
 Corolla;26700;Automatic;3675;Hybrid;135;53,3;2;toyota
 Tiguan;39750;Semi-Auto;2999;Diesel;150;35,3;2;vw
 Amarok;37000;Automatic;10;Diesel;260;28,3;3;vw
 Q5;53990;Automatic;4394;Diesel;145;34,5;3;audi
 Kodiaq;25790;Manual;8054;Diesel;145;52,3;2;skoda
 Q3;30990;Semi-Auto;9985;Petrol;145;31,4;2;audi
 Kodiaq;32995;Automatic;2500;Diesel;150;39,2;2;skoda
 Fabia;14799;Manual;100;Petrol;145;50,4;1;skoda
 A1;21746;Semi-Auto;3000;Petrol;145;44,8;1;audi
 Passat;27490;Manual;972;Diesel;145;57,7;2;vw
 Q3;33333;Automatic;1500;Diesel;145;47,1;0;audi
 Q8;58000;Semi-Auto;2000;Diesel;145;33,6;3;audi
 3 Series;39995;Semi-Auto;1898;Petrol;145;41,5;2;BMW
 Up;15991;Manual;1113;Petrol;150;53,3;1;vw
 Q3;32444;Automatic;1500;Petrol;145;31,4;2;audi
 T-Cross;18890;Manual;3000;Petrol;145;47,9;1;vw
 Polo;16450;Manual;1000;Petrol;150;47,9;1;vw
 A1;22250;Semi-Auto;4500;Petrol;145;44,1;1;audi
 Polo;17250;Semi-Auto;2000;Petrol;145;45,6;1;vw
 Q2;26169;Manual;6000;Petrol;145;43,5;1,5;audi
 Up;11530;Manual;100;Petrol;145;54,3;1;vw
 2 Series;28890;Semi-Auto;6000;Petrol;145;39,8;3;BMW
 X2;37995;Automatic;2500;Petrol;145;34;2;BMW
 Focus;18495;Manual;5500;Petrol;145;60,1;1;Ford
 T-Cross;17490;Manual;3882;Diesel;145;53,3;1,6;vw
 3 Series;37250;Automatic;101;Diesel;145;47,9;3;BMW
 Polo;15495;Semi-Auto;5127;Petrol;145;45,6;1;vw
 A4;43000;Automatic;3000;Diesel;145;40,4;3;audi
 Q3;26890;Manual;2574;Petrol;145;40,9;1,5;audi
 R8;133900;Semi-Auto;333;Petrol;145;21,4;5,2;audi
 X7;64999;Semi-Auto;4000;Diesel;145;33,6;3;BMW
 A4;44500;Automatic;3911;Diesel;145;40,4;3;audi
 Fiesta;18000;Manual;25;Petrol;145;54,3;1;Ford
 T-Roc;23790;Semi-Auto;5000;Petrol;145;39,8;1,5;vw
 Fiesta;17298;Manual;4563;Petrol;145;54,3;1;Ford
 A5;28900;Manual;3452;Petrol;145;39,8;2;audi
 A8;48500;Semi-Auto;2000;Diesel;145;39,2;3;audi
 Polo;13965;Manual;100;Petrol;150;48,7;1;vw
 Kamiq;19500;Manual;2000;Petrol;145;47,9;1;skoda
 Tiguan;33999;Semi-Auto;501;Diesel;145;31,4;2;vw
 Polo;20941;Semi-Auto;3500;Petrol;145;46,3;1;vw
 A5;37507;Semi-Auto;7639;Petrol;145;39,8;2;audi
 T-Roc;31990;Semi-Auto;2214;Petrol;145;34,5;2;vw
 Fabia;12995;Manual;500;Petrol;145;52,3;1;skoda
 EcoSport;16690;Manual;151;Petrol;145;53,3;1;Ford
 3 Series;28950;Semi-Auto;300;Petrol;145;42,2;2;BMW
 2 Series;20980;Semi-Auto;10;Petrol;145;50,4;1,5;BMW
 A5;29750;Semi-Auto;2000;Diesel;145;51,4;2;audi
 Puma;21995;Manual;4111;Petrol;145;50,4;1;Ford
 Q7;57888;Automatic;1500;Diesel;145;33,2;3;audi
 Focus;20999;Automatic;7;Petrol;145;50,4;1;Ford
 Polo;22900;Semi-Auto;3000;Petrol;150;39,8;2;vw
 Polo;19950;Semi-Auto;2000;Petrol;150;46,3;1;vw
 Up;9999;Manual;5000;Petrol;145;54,3;1;vw
 M2;46995;Automatic;4500;Petrol;145;29,1;3;BMW
 4 Series;25980;Semi-Auto;14;Diesel;145;65,7;2;BMW
 Golf;31498;Semi-Auto;10;Petrol;150;32,8;2;vw
 Q2;25990;Manual;1500;Petrol;145;43,5;1,5;audi
 T-Roc;25310;Manual;3011;Petrol;145;42,2;1,5;vw
 GT86;24990;Manual;339;Petrol;145;33,2;2;toyota
 Polo;17940;Manual;3500;Petrol;145;49,6;1;vw
 A3;27991;Semi-Auto;2500;Petrol;145;43,5;1,5;audi
 RS3;41990;Automatic;415;Petrol;145;29,7;2,5;audi
 Polo;13999;Manual;5000;Petrol;145;47,9;1;vw
 Golf;21999;Manual;248;Petrol;145;47,9;1,5;vw
 2 Series;31590;Manual;980;Petrol;145;43,5;1,5;BMW
 X1;34999;Semi-Auto;5000;Diesel;150;47,9;2;BMW
 Polo;14451;Manual;1053;Petrol;150;48,7;1;vw
 Golf;20999;Manual;420;Diesel;145;56,5;1,6;vw
 Arteon;34500;Semi-Auto;4000;Diesel;145;50,4;2;vw
 Golf SV;25490;Automatic;1000;Petrol;145;42,8;1,5;vw
 3 Series;31980;Semi-Auto;10;Diesel;145;50,4;2;BMW
 T-Roc;40000;Semi-Auto;3500;Petrol;145;32,5;2;vw
 2 Series;28490;Semi-Auto;5;Petrol;145;50,4;2;BMW
 Camry;26490;Automatic;10000;Hybrid;135;52,3;2,5;toyota
 Q5;62000;Semi-Auto;5000;Diesel;150;32,5;3;audi
 Polo;14990;Manual;1920;Petrol;145;48,7;1;vw
 I10;13495;Manual;3000;Petrol;150;56,5;1;Hyundai
 Aygo;9995;Manual;500;Petrol;145;56,5;1;toyota
 5 Series;29950;Semi-Auto;9;Hybrid;145;49,6;2;BMW
 Karoq;24980;Automatic;2000;Petrol;150;41,5;1,5;skoda
 T-Roc;27295;Automatic;2317;Diesel;145;49,6;2;vw
 Superb;36000;Semi-Auto;6968;Hybrid;135;188,3;1,4;skoda
 Polo;16992;Manual;4288;Petrol;145;51,4;1;vw
 A6;28000;Automatic;2511;Diesel;145;47,9;2;audi
 X1;26950;Manual;18;Petrol;145;49,6;1,5;BMW
 I10;12495;Manual;1900;Petrol;145;56,5;1;Hyundai
 4 Series;27950;Manual;10;Diesel;145;62,8;2;BMW
 I10;13995;Manual;3000;Petrol;145;56,5;1;Hyundai
 Superb;29991;Semi-Auto;3565;Hybrid;135;188,3;1,4;skoda
 Polo;17999;Semi-Auto;1452;Petrol;145;45,6;1;vw
 Tucson;18480;Manual;1550;Petrol;145;34,9;1,6;Hyundai
 I10;14485;Manual;100;Petrol;145;51,4;1,2;Hyundai
 Kodiaq;29999;Automatic;995;Diesel;145;39,2;2;skoda
 C-HR;28991;Automatic;3798;Hybrid;140;54,3;2;toyota
 Up;11520;Manual;50;Petrol;150;51,4;1;vw
 Tiguan;34995;Manual;1000;Diesel;150;42,8;2;vw
 8 Series;59995;Semi-Auto;1501;Petrol;145;31,7;3;BMW
 A3;35995;Semi-Auto;314;Petrol;150;34,9;2;audi
 Golf;24495;Manual;3000;Petrol;150;47,1;1,5;vw
 Arteon;34000;Semi-Auto;3000;Petrol;150;32,8;2;vw
 4 Series;38000;Semi-Auto;101;Diesel;150;49,6;3;BMW
 Fiesta;15980;Manual;2489;Petrol;150;55,4;1;Ford
 5 Series;29990;Semi-Auto;10;Petrol;145;50,4;2;BMW
 Tucson;25180;Automatic;978;Petrol;145;35,8;1,6;Hyundai
 Amarok;34995;Automatic;5000;Diesel;265;33,6;3;vw
 A4;28995;Semi-Auto;3920;Petrol;145;42,2;2;audi
 Golf;20990;Manual;1000;Petrol;145;49,6;1,5;vw
 Q3;28490;Manual;10;Petrol;145;39,8;1,5;audi
 X2;28999;Semi-Auto;5000;Diesel;145;47,9;2;BMW
 3 Series;71990;Semi-Auto;150;Diesel;150;47,1;3;BMW
 3 Series;39900;Automatic;13;Diesel;145;44,1;3;BMW
 2 Series;26095;Manual;101;Petrol;145;52,3;1,5;BMW
 Polo;14790;Manual;348;Petrol;145;48,7;1;vw
 I30;15985;Manual;100;Petrol;145;45,6;1;Hyundai
 Q2;25888;Semi-Auto;4000;Petrol;145;42,2;1,5;audi
 A1;21000;Manual;3500;Petrol;145;49,6;1;audi
 Golf;25999;Semi-Auto;10;Hybrid;150;44,8;1,5;vw
 Golf;24891;Semi-Auto;5149;Diesel;145;52,3;2;vw
 A5;35000;Semi-Auto;4500;Diesel;145;45,6;2;audi
 Q2;27495;Semi-Auto;2000;Petrol;150;43,5;1,5;audi
 RS4;69995;Semi-Auto;2200;Petrol;145;28,8;2,9;audi
 2 Series;24988;Automatic;5000;Diesel;145;48,7;2;BMW
 2 Series;20480;Semi-Auto;10;Petrol;150;42,2;1,5;BMW
 4 Series;48155;Semi-Auto;10;Petrol;145;44,8;2;BMW
 Kona;24495;Automatic;76;Hybrid;135;52,3;1,6;Hyundai
 Up;11000;Manual;2500;Petrol;145;54,3;1;vw
 Up;10790;Manual;1000;Petrol;150;54,3;1;vw
 Focus;27500;Automatic;5588;Petrol;150;39,2;1,5;Ford
 3 Series;36999;Semi-Auto;5500;Diesel;145;45,6;3;BMW
 Corolla;28795;Automatic;1544;Hybrid;135;53,3;2;toyota
 Polo;14437;Manual;1001;Petrol;145;52,3;1;vw
 X1;26950;Semi-Auto;811;Petrol;145;40,9;1,5;BMW
 Shuttle;25199;Manual;1000;Diesel;150;37,7;2;vw
 Kodiaq;33395;Automatic;3364;Diesel;145;39,2;2;skoda
 EcoSport;16795;Manual;384;Petrol;145;53,3;1;Ford
 Q3;32990;Manual;2985;Diesel;145;42,8;2;audi
 2 Series;25995;Semi-Auto;1000;Petrol;145;40,9;1,5;BMW
 T-Cross;20990;Automatic;69;Petrol;145;45,6;1;vw
 A1;20495;Semi-Auto;1500;Petrol;145;44,8;1,5;audi
 4 Series;37450;Semi-Auto;11;Diesel;145;47,9;3;BMW
 RS4;69890;Automatic;3350;Petrol;150;29,1;2,9;audi
 5 Series;26990;Semi-Auto;102;Petrol;145;52,3;2;BMW
 3 Series;35995;Semi-Auto;1501;Diesel;145;47,9;3;BMW
 Up;9999;Manual;5000;Petrol;145;54,3;1;vw
 2 Series;35250;Semi-Auto;100;Diesel;150;49,6;2;BMW
 Passat;21998;Semi-Auto;10;Diesel;145;49,6;1,6;vw
 Up;9999;Manual;5000;Petrol;145;54,3;1;vw
 T-Roc;26499;Manual;1000;Petrol;145;42,2;1,5;vw
 A3;28950;Automatic;5500;Diesel;150;44,1;2;audi
 Fabia;12995;Manual;1000;Petrol;145;47,1;1;skoda
 Golf;21490;Manual;5481;Petrol;145;49,6;1,5;vw
 3 Series;24850;Semi-Auto;10;Diesel;145;52,3;2;BMW
 A6;37990;Automatic;3455;Diesel;145;50,4;2;audi
 5 Series;31995;Semi-Auto;1501;Hybrid;145;49,6;2;BMW
 Polo;15500;Manual;399;Petrol;145;47,9;1;vw
 Hilux;39257;Automatic;1259;Diesel;265;2,8;2,4;toyota
 I10;13595;Manual;545;Petrol;145;51,4;1,2;Hyundai
 Polo;13749;Manual;3588;Petrol;145;48,7;1;vw
 Golf;23999;Manual;3608;Petrol;145;47,9;1,5;vw
 Q3;28000;Manual;1000;Petrol;145;40,9;1,5;audi
 Polo;15322;Manual;1795;Petrol;145;52,3;1;vw
 T-Roc;31895;Manual;10;Petrol;145;42,2;1,5;vw
 T-Cross;23990;Automatic;1140;Petrol;145;45,6;1;vw
 2 Series;31995;Semi-Auto;1000;Diesel;145;62,8;2;BMW
 A4;34950;Automatic;5500;Diesel;145;49,6;2;audi
 Kamiq;18499;Manual;2046;Petrol;145;47,1;1,5;skoda
 Polo;13990;Manual;2500;Petrol;145;48,7;1;vw
 T-Cross;19450;Manual;2684;Petrol;150;48,7;1;vw
 Polo;16499;Semi-Auto;2000;Petrol;145;45,6;1;vw
 Fabia;13299;Manual;100;Petrol;145;51,4;1;skoda
 A4;34798;Semi-Auto;6998;Petrol;145;38,2;2;audi
 Q3;30210;Semi-Auto;1401;Diesel;145;48,7;2;audi
 Q2;24000;Manual;1000;Petrol;145;43,5;1;audi
 X6;58999;Semi-Auto;3;Petrol;145;26,4;3;BMW
 TT;30000;Automatic;1500;Petrol;145;40,9;2;audi
 X1;27493;Manual;3609;Diesel;145;39,2;2;BMW
 M4;48000;Semi-Auto;30;Petrol;145;34;3;BMW
 I10;10795;Manual;2255;Petrol;145;49,6;1;Hyundai
 4 Series;35995;Semi-Auto;1000;Diesel;145;58,9;2;BMW
 Puma;22999;Manual;1977;Petrol;150;49,6;1;Ford
 T-Cross;21980;Automatic;1000;Petrol;150;45,6;1;vw
 Polo;15989;Manual;2800;Petrol;145;52,3;1;vw
 X1;29450;Semi-Auto;10;Diesel;145;40,9;2;BMW
 Q2;26900;Semi-Auto;1545;Petrol;145;42,2;1,5;audi
 Tiguan;25000;Manual;1644;Diesel;145;47,9;2;vw
 Golf;29995;Semi-Auto;2000;Hybrid;135;141,3;1,4;vw
 Up;10000;Manual;2000;Petrol;145;54,3;1;vw
 Scala;18250;Manual;3543;Petrol;145;49,6;1;skoda
 Fabia;14731;Manual;785;Petrol;145;52,3;1;skoda
 Up;10950;Manual;15;Petrol;145;54,3;1;vw
 Aygo;11500;Manual;472;Petrol;145;56,5;1;toyota
 A4;34990;Semi-Auto;50;Diesel;145;50,4;2;audi
 M4;52988;Automatic;10;Petrol;150;34;3;BMW
 Fiesta;15000;Manual;250;Petrol;145;58,9;1;Ford
 Up;10750;Manual;100;Petrol;145;54,3;1;vw
 Golf;18995;Manual;5011;Diesel;145;57,7;1,6;vw
 5 Series;26750;Automatic;101;Diesel;145;52,3;2;BMW
 Golf;21498;Semi-Auto;10;Diesel;150;53,3;2;vw
 Q2;24444;Manual;4265;Petrol;145;43,5;1,5;audi
 Polo;15000;Manual;620;Petrol;145;48,7;1;vw
 Corolla;28990;Automatic;2000;Hybrid;140;53,3;2;toyota
 Superb;25895;Automatic;3463;Diesel;145;61,4;2;skoda
 Puma;20991;Manual;5750;Petrol;145;49,6;1;Ford
 Tiguan;35490;Manual;3412;Diesel;145;42,8;2;vw
 T-Cross;18690;Manual;2500;Petrol;145;48,7;1;vw
 Scala;19952;Manual;1652;Petrol;145;47,9;1,5;skoda
 Golf;36995;Semi-Auto;3452;Petrol;150;36,2;2;vw
 M2;46000;Semi-Auto;1501;Petrol;145;29,1;3;BMW
 Golf;33000;Semi-Auto;5;Hybrid;135;141,3;1,4;vw
 5 Series;31990;Semi-Auto;10;Petrol;145;50,4;2;BMW
 3 Series;29490;Automatic;12;Petrol;145;42,2;2;BMW
 Golf;24990;Semi-Auto;4898;Diesel;145;52,3;2;vw
 Up;10990;Manual;1201;Petrol;145;54,3;1;vw
 Q5;37444;Automatic;3000;Petrol;145;32,1;2;audi
 Q3;30888;Semi-Auto;525;Petrol;145;40,9;1,5;audi
 Octavia;16950;Semi-Auto;4318;Diesel;150;72,4;1,6;skoda
 Santa Fe;35995;Semi-Auto;1801;Diesel;145;39,8;2,2;Hyundai
 Puma;20991;Manual;910;Petrol;145;50,4;1;Ford
 Q3;31990;Semi-Auto;2649;Petrol;145;31,4;2;audi
 Up;10990;Manual;2870;Petrol;145;51,4;1;vw
 T-Roc;20499;Manual;501;Petrol;145;44,1;1;vw
 RS4;69950;Semi-Auto;2000;Petrol;145;29,1;2,9;audi
 Focus;18900;Manual;10;Petrol;150;60,1;1;Ford
 X3;37999;Automatic;2789;Diesel;145;54,3;2;BMW
 T-Roc;20990;Manual;5311;Petrol;145;44,1;1;vw
 T-Roc;25291;Manual;1011;Petrol;150;44,1;1,5;vw
 Q5;48995;Semi-Auto;2000;Diesel;145;34,5;3;audi
 Golf;29995;Semi-Auto;1000;Petrol;145;43,5;1,5;vw
 Q2;26500;Semi-Auto;1500;Petrol;145;42,2;1,5;audi
 Golf;21998;Manual;10;Petrol;150;47,9;1,5;vw
 Q3;25995;Manual;7000;Petrol;150;40,9;1,5;audi
 Kamiq;17495;Manual;1000;Petrol;145;47,9;1;skoda
 Focus;17000;Manual;4076;Petrol;145;58,9;1;Ford
 X2;24990;Semi-Auto;10;Diesel;145;47,9;2;BMW
 I10;12490;Manual;1136;Petrol;150;56,5;1;Hyundai
 Polo;16489;Manual;3800;Diesel;150;57,7;1,6;vw
 Q5;38500;Semi-Auto;4000;Petrol;145;32,1;2;audi
 Fiesta;17000;Manual;10;Petrol;150;58,9;1;Ford
 I30;25995;Manual;1045;Petrol;145;34;2;Hyundai
 T-Cross;23990;Manual;10;Diesel;145;52,3;1,6;vw
 Q3;32444;Semi-Auto;4432;Petrol;145;31,4;2;audi
 Caravelle;47000;Automatic;1001;Diesel;145;33,6;2;vw
 2 Series;22999;Semi-Auto;5000;Petrol;145;50,4;1,5;BMW
 Polo;15450;Manual;2711;Petrol;145;47,9;1;vw
 Q3;30990;Semi-Auto;500;Petrol;150;40,4;1,5;audi
 2 Series;26475;Semi-Auto;12;Diesel;145;51,4;2;BMW
 T-Roc;26995;Semi-Auto;6500;Petrol;145;39,8;1,5;vw
 Polo;16994;Semi-Auto;2104;Petrol;145;45,6;1;vw
 Up;13500;Manual;2122;Petrol;145;50,4;1;vw
 Golf;17995;Manual;3700;Petrol;145;50,4;1,5;vw
 M2;42999;Semi-Auto;15;Petrol;150;29,1;3;BMW
 Golf;28995;Semi-Auto;1000;Petrol;145;43,5;1,5;vw
 T-Roc;25495;Manual;1000;Petrol;145;42,2;1,5;vw
 A1;23250;Semi-Auto;3000;Petrol;145;44,8;1;audi
 Tiguan;26999;Automatic;4381;Diesel;145;46,3;2;vw
 Q3;29990;Manual;5000;Diesel;145;40,9;2;audi
 Focus;20490;Automatic;6041;Diesel;145;67,3;1,5;Ford
 Golf;29995;Semi-Auto;1874;Petrol;150;32,8;2;vw
 A6;34746;Semi-Auto;2500;Diesel;150;50,4;2;audi
 A3;21600;Manual;1222;Diesel;145;56,5;2;audi
 Z4;32995;Semi-Auto;102;Petrol;145;38,7;2;BMW
 Passat;20998;Semi-Auto;15;Diesel;145;49,6;1,6;vw
 Scala;17495;Manual;55;Petrol;145;49,6;1;skoda
 A4;43395;Semi-Auto;8500;Diesel;145;40,4;3;audi
 Q3;32881;Semi-Auto;4432;Petrol;145;39,2;1,5;audi
 X1;31498;Semi-Auto;1560;Diesel;145;60,1;2;BMW
 Scala;19480;Automatic;100;Petrol;145;44,8;1,5;skoda
 4 Series;27950;Semi-Auto;10;Petrol;145;45,6;2;BMW
 Golf;18490;Manual;3062;Diesel;145;55,4;2;vw
 Golf;30498;Semi-Auto;15;Petrol;150;32,8;2;vw
 Up;11000;Manual;2000;Petrol;145;54,3;1;vw
 X1;29000;Semi-Auto;9;Petrol;150;47,9;2;BMW
 T-Roc;24500;Manual;999;Petrol;145;44,1;1,5;vw
 Q2;30000;Semi-Auto;4000;Petrol;145;42,2;1,5;audi
 Up;11250;Manual;1000;Petrol;145;54,3;1;vw
 Fiesta;15199;Manual;50;Petrol;145;56,5;1;Ford
 2 Series;28655;Manual;3297;Petrol;145;52,3;1,5;BMW
 A3;34991;Semi-Auto;4432;Petrol;150;34,5;2;audi
 A1;23950;Automatic;5520;Petrol;150;44,8;1,5;audi
 7 Series;57980;Semi-Auto;3301;Diesel;145;41,5;3;BMW
 X1;37320;Semi-Auto;102;Petrol;145;39,8;2;BMW
 Passat;31790;Semi-Auto;3500;Diesel;145;48,7;2;vw
 T-Roc;25790;Semi-Auto;1208;Diesel;145;50,4;2;vw
 Fiesta;15250;Manual;4500;Petrol;150;58,9;1;Ford
 X7;64995;Semi-Auto;1501;Diesel;145;33,6;3;BMW
 A4;44000;Semi-Auto;1000;Diesel;145;39,8;3;audi
 Puma;21769;Manual;169;Petrol;145;50,4;1;Ford
 A1;21450;Manual;1000;Petrol;145;44,1;1;audi
 A5;31000;Manual;247;Petrol;145;37,2;2;audi
 3 Series;34000;Semi-Auto;1595;Diesel;145;50,4;2;BMW
 T-Cross;18745;Manual;294;Petrol;150;47,9;1;vw
 Scala;19999;Semi-Auto;1000;Petrol;145;45,6;1,5;skoda
 T-Roc;27895;Manual;10;Petrol;145;42,2;1,5;vw
 Superb;24995;Semi-Auto;42;Petrol;150;39,8;1,5;skoda
 Caddy Maxi Life;25995;Semi-Auto;5000;Diesel;145;46,3;2;vw
 Octavia;19999;Semi-Auto;4789;Diesel;150;53,3;2;skoda
 I20;12980;Manual;1298;Petrol;145;46,3;1,2;Hyundai
 Kona;15399;Automatic;7000;Hybrid;135;52,3;1,6;Hyundai
 M4;59999;Semi-Auto;3000;Petrol;150;28,5;3;BMW
 Fiesta;16000;Automatic;500;Petrol;145;48,7;1;Ford
 2 Series;29995;Semi-Auto;1000;Petrol;145;47,9;2;BMW
 Golf;34480;Semi-Auto;1500;Petrol;145;36,2;2;vw
 Golf;21960;Manual;1406;Petrol;150;49,6;1,5;vw
 Tiguan;32890;Manual;501;Diesel;145;47,9;2;vw
 Q5;46000;Semi-Auto;4000;Hybrid;135;117,7;2;audi
 Golf;18490;Manual;3098;Diesel;150;57,7;1,6;vw
 Passat;31790;Manual;1000;Diesel;145;57,7;2;vw
 Golf;30991;Semi-Auto;1500;Petrol;145;37,7;2;vw
 Q2;25888;Semi-Auto;4000;Petrol;145;42,2;1,5;audi
 Q2;26339;Manual;6000;Petrol;145;43,5;1,5;audi
 Superb;21991;Semi-Auto;499;Petrol;145;41,5;1,5;skoda
 A1;22490;Manual;1000;Petrol;145;47,9;1;audi
 Polo;17999;Manual;4030;Petrol;145;49,6;1;vw
 5 Series;27990;Semi-Auto;105;Hybrid;145;49,6;2;BMW
 Q3;36850;Semi-Auto;4500;Diesel;145;47,1;2;audi
 Golf;22083;Manual;5000;Petrol;145;49,6;1,5;vw
 X2;28490;Semi-Auto;6565;Diesel;150;58,9;2;BMW
 Corolla;28495;Automatic;2141;Hybrid;140;56,5;1,8;toyota
 Polo;14499;Manual;5000;Petrol;145;47,9;1;vw
 T-Roc;21990;Manual;100;Petrol;145;44,1;1;vw
 Kodiaq;36750;Automatic;3678;Diesel;150;34,9;2;skoda
 Aygo;11290;Semi-Auto;4574;Petrol;145;56,5;1;toyota
 T-Cross;20995;Automatic;500;Petrol;145;45,6;1;vw
 Fabia;13430;Manual;985;Petrol;145;50,4;1;skoda
 Fiesta;14000;Manual;10;Petrol;150;55,4;1;Ford
 Kuga;31991;Semi-Auto;2357;Hybrid;135;201,8;2,5;Ford
 Tiguan;30480;Semi-Auto;5;Diesel;145;39,8;2;vw
 Tucson;25495;Semi-Auto;1000;Hybrid;145;50,4;1,6;Hyundai
 Puma;21000;Manual;1173;Petrol;150;50,4;1;Ford
 1 Series;31990;Semi-Auto;3150;Petrol;150;34,5;2;BMW
 A1;23000;Semi-Auto;5000;Petrol;145;44,8;1,5;audi
 Q3;35990;Semi-Auto;5000;Petrol;145;31,4;2;audi
 Golf;18995;Manual;5017;Diesel;145;57,7;1,6;vw
 A5;38000;Semi-Auto;1000;Diesel;145;50,4;2;audi
 Tiguan Allspace;32472;Semi-Auto;6000;Diesel;145;38,7;2;vw
 Golf;20464;Manual;100;Diesel;150;67,3;1,6;vw
 Up;9999;Manual;5000;Petrol;145;54,3;1;vw
 T-Roc;25500;Manual;3000;Petrol;145;44,1;1,5;vw
 Golf;22980;Automatic;1936;Petrol;145;45,6;1,5;vw
 3 Series;36650;Automatic;4500;Diesel;145;49,6;2;BMW
 Z4;30000;Automatic;110;Petrol;145;38,7;2;BMW
 5 Series;29450;Semi-Auto;10;Petrol;145;36,2;2;BMW
 3 Series;23899;Automatic;1255;Petrol;150;47,9;2;BMW
 Q3;26945;Manual;3000;Petrol;145;39,8;1,5;audi
 EcoSport;17799;Manual;1820;Petrol;145;52,3;1;Ford
 A4;31498;Manual;183;Petrol;145;39,2;2;audi
 3 Series;31490;Semi-Auto;105;Diesel;145;51,4;2;BMW
 5 Series;38990;Semi-Auto;105;Diesel;145;53,3;3;BMW
 Aygo;10999;Manual;879;Petrol;150;56,5;1;toyota
 I30;25999;Manual;6000;Petrol;150;34;2;Hyundai
 Kodiaq;29400;Automatic;5777;Diesel;145;39,8;2;skoda
 Fiesta;21499;Manual;58;Petrol;145;55,4;1;Ford
 Golf;24699;Manual;176;Petrol;150;47,1;1,5;vw
 Golf;22490;Manual;1888;Petrol;145;49,6;1,5;vw
 4 Series;27500;Semi-Auto;130;Petrol;145;45,6;2;BMW
 Focus;16975;Automatic;293;Diesel;145;54,3;1,5;Ford
 Q7;71450;Semi-Auto;5000;Diesel;145;30,1;4;audi
 Karoq;28999;Automatic;2200;Diesel;150;41,5;2;skoda
 Golf;33000;Semi-Auto;5;Hybrid;135;141,3;1,4;vw
 5 Series;41995;Semi-Auto;100;Diesel;145;60,1;2;BMW
 5 Series;36850;Semi-Auto;13;Hybrid;145;44,8;2;BMW
 TT;28490;Automatic;80;Petrol;145;38,7;2;audi
 X3;34440;Semi-Auto;105;Diesel;145;54,3;2;BMW
 Puma;21000;Manual;1000;Petrol;145;50,4;1;Ford
 Focus;21499;Manual;807;Diesel;145;62,8;1,5;Ford
 Tiguan;23790;Manual;3500;Petrol;145;40,9;1,5;vw
 8 Series;74995;Semi-Auto;4500;Diesel;145;26,7;3;BMW
 Polo;18495;Semi-Auto;5129;Petrol;145;46,3;1;vw
 X2;29998;Manual;1850;Diesel;150;49,6;2;BMW
 A1;18500;Manual;2500;Petrol;145;48,7;1;audi
 X5;48975;Semi-Auto;9998;Diesel;145;37,7;3;BMW
 Kamiq;23500;Semi-Auto;4730;Petrol;145;43,5;1,5;skoda
